White	WhiteWin	Draw	BlackWin	Black
G1-Q-A1-S1	1	0	0	L1-Q-G1-G1
G1-Q-A1-S1	1	0	0	G1-Q-S1-S1
G1-Q-A1-S1	1	0	0	G1-Q-S1-G2
G1-Q-A1-S1	1	0	0	G1-Q-S1-A1
G1-Q-A1-S1	1	0	0	G1-Q-G2-S1
G1-Q-A1-S1	0	0	1	G1-Q-G2-G3
G1-Q-A1-S1	0	0	1	G1-Q-A1-A1
G1-Q-A1-S1	1	0	0	G1-G2-Q-S1
G1-Q-A1-S1	0	0	1	B1-Q-S1-G1
G1-Q-A1-S1	1	0	0	B1-Q-M1-A1
G1-Q-A1-S1	1	0	0	A1-Q-G1-G1
G1-Q-A1-Q	1	0	0	S1-Q-A1-A1
G1-Q-A1-P	0	0	1	L1-Q-S1-A1
G1-Q-A1-P	0	0	1	G1-Q-P-B1
G1-Q-A1-M1	1	0	0	S1-Q-A1-A2
G1-Q-A1-M1	1	0	0	S1-Q-A1-A1
G1-Q-A1-M1	0	0	1	S1-A1-Q-A1
G1-Q-A1-M1	0	0	1	G1-Q-M1-A1
G1-Q-A1-M1	0	0	1	G1-M1-Q-S1
G1-Q-A1-M1	0	0	1	B1-Q-S1-S1
G1-Q-A1-M1	0	1	0	B1-A1-Q-A1
G1-Q-A1-M1	1	0	0	A1-B1-Q-B1
G1-Q-A1-G2	1	0	0	S1-Q-A1-A1
