White	WhiteWin	Draw	BlackWin	Black
B1-G1-Q-B2	9	0	21	S1-Q-A1-A1
S1-S2-Q-A1	22	0	7	G1-A1-A2-Q
S1-Q-A1-A2	23	0	6	S1-Q-B1-B2
S1-Q-A1-A2	22	1	6	G1-S1-G2-Q
S1-Q-A1-A2	17	2	10	G1-G2-G3-Q
S1-Q-A1-A1	15	2	12	B1-Q-A1-B2
S1-G1-A1-Q	13	0	16	G1-A1-B1-Q
S1-A1-A2-Q	22	0	7	S1-G1-B1-Q
S1-A1-A2-Q	23	0	6	G1-A1-B1-Q
G1-Q-A1-A1	22	3	4	A1-Q-S1-B1
G1-B1-Q-B2	11	0	18	G1-Q-A1-A1
G1-A1-Q-A2	20	1	8	S1-A1-B1-Q
G1-A1-Q-A1	20	0	9	S1-A1-Q-B1
G1-A1-A2-Q	2	0	27	G1-Q-S1-S1
S1-S2-Q-S2	14	1	13	G1-Q-S1-B1
S1-S2-B1-Q	13	0	15	S1-A1-Q-A1
S1-S2-A1-Q	19	0	9	G1-G2-Q-B1
S1-Q-A1-A2	21	1	6	A1-A2-B1-Q
S1-Q-A1-A1	21	0	7	L1-A1-Q-B1
S1-Q-A1-A1	12	0	16	G1-A1-B1-Q
S1-G1-A1-Q	17	0	11	G1-A1-Q-B1
S1-B1-A1-Q	13	0	15	S1-A1-B1-Q
S1-A1-Q-A2	23	0	5	S1-S2-G1-Q
S1-A1-Q-A1	16	0	12	B1-B2-Q-S1
G1-Q-S1-S1	19	2	7	G1-B1-Q-B2
G1-Q-A1-A1	20	2	6	S1-Q-S2-B1
B1-B2-G1-Q	12	1	15	S1-Q-A1-A1
A1-Q-S1-B1	9	0	19	G1-Q-A1-A1
S1-S2-Q-S2	20	1	6	S1-Q-S2-B1
S1-S2-Q-S2	13	0	14	G1-G2-Q-B1
S1-S2-Q-S2	19	0	8	G1-B1-B2-Q
S1-S2-Q-A1	23	0	4	G1-Q-S1-B1
S1-S2-Q-A1	16	0	11	G1-B1-Q-B2
S1-S2-G1-Q	14	0	13	S1-Q-A1-A1
S1-S2-A1-Q	21	0	6	G1-G2-B1-Q
S1-Q-S2-S2	17	1	9	S1-Q-B1-B2
S1-Q-S2-S2	17	0	10	G1-B1-Q-B2
S1-Q-S2-A1	20	0	7	S1-G1-B1-Q
S1-Q-S2-A1	21	1	5	G1-S1-B1-Q
S1-Q-A1-A2	27	0	0	S1-A1-Q-B1
S1-Q-A1-A2	21	0	6	B1-G1-G2-Q
S1-Q-A1-A2	18	0	9	A1-G1-A2-Q
S1-B1-A1-Q	6	0	21	S1-A1-Q-A1
S1-A1-Q-A2	20	0	7	A1-S1-B1-Q
S1-A1-Q-A1	20	0	7	G1-Q-G2-B1
S1-A1-Q-A1	25	0	2	A1-S1-Q-B1
S1-A1-A2-Q	12	1	14	S1-S2-Q-A1
Q-S1-S2-A1	20	0	7	B1-S1-B2-Q
G1-Q-S1-S1	21	2	4	S1-Q-B1-B2
G1-Q-S1-S1	19	0	8	G1-Q-B1-B2
G1-Q-A1-A1	16	0	11	B1-B2-Q-S1
G1-A1-B1-Q	9	0	18	B1-Q-A1-A1
B1-G1-Q-B2	4	0	23	G1-Q-A1-A1
A1-B1-B2-Q	10	1	16	S1-A1-Q-A1
A1-A2-B1-Q	10	0	17	S1-A1-Q-A1
S1-S2-Q-S2	15	0	11	S1-Q-B1-B2
S1-S2-Q-S2	10	0	16	G1-Q-B1-B2
S1-S2-Q-A1	18	0	8	B1-B2-S1-Q
S1-Q-S2-S2	16	0	10	G1-S1-Q-B1
S1-Q-B1-B2	5	0	21	G1-Q-A1-A1
S1-Q-A1-A2	20	0	6	B1-A1-G1-Q
S1-Q-A1-A1	17	1	8	S1-Q-A1-B1
S1-G1-B1-Q	6	0	20	S1-Q-A1-A2
S1-G1-A1-Q	15	0	11	G1-S1-Q-B1
S1-A1-Q-A2	19	0	7	G1-B1-G2-Q
S1-A1-Q-A1	17	0	9	S1-Q-G1-B1
S1-A1-Q-A1	20	0	6	M1-A1-Q-B1
S1-A1-A2-Q	16	1	9	G1-B1-Q-B2
